Subject, sex, Trial, SeqItem1, SeqItem2, SeqItem3, SeqItem4, SeqItem5, ItemResp1, ItemResp2, ItemResp3, ItemResp4, ItemResp5, SeqError
control2, Female, 1,PotionBig,Beer,WineBottle,WineJug,Watermelon (2),PotionBig,Beer,Watermelon (2),WineJug,WineBottle,2
control2, Female, 2,PotionSmall,Avocado_01 (2),NewtonsCradle_01 (1),Drone_01 (1),Bird_01 (2),Avocado_01 (2),PotionSmall,Drone_01 (1),NewtonsCradle_01 (1),Bird_01 (2),4
control2, Female, 3,TeddyBear_01 (1),FlowerPot_01 (1),Bag (2),TennisBall_01 (1),Controller_01 (2),TeddyBear_01 (1),Bag (2),Controller_01 (2),TennisBall_01 (1),FlowerPot_01 (1),3
control2, Female, 4,Ship_01 (2),WateringCan_01 (2),SeaHorse_01 (2),Alpaca_01 (3),Pineapple (3),WateringCan_01 (2),SeaHorse_01 (2),Alpaca_01 (3),Pineapple (3),Ship_01 (2),5
control2, Female, 5,Shovel (1),Darts_01 (1),CassetteRecorder (1),Earphones (1),Rocket_01 (1),Shovel (1),CassetteRecorder (1),Earphones (1),Darts_01 (1),Rocket_01 (1),3
control2, Female, 6,IceCream02 (2),Pineapple (2),Bucket (2),Dinosaur_01 (1),SwimmingRing04 (1),Bucket (2),IceCream02 (2),Pineapple (2),SwimmingRing04 (1),Dinosaur_01 (1),5
control2, Female, 7,Waterpolo01 (1),Sunglasses (2),Football_01 (2),SwimmingRing02 (1),Carrot_01 (1),Waterpolo01 (1),Sunglasses (2),Football_01 (2),SwimmingRing02 (1),Carrot_01 (1),0
control2, Female, 8,Waterpolo (1),FreezerBag (1),Stone02 (1),Bunny_01 (1),Abacus_01 (1),Waterpolo (1),FreezerBag (1),Stone02 (1),Bunny_01 (1),Abacus_01 (1),0
control2, Female, 9,SeaHorse_01 (3),Car_01 (1),Ball_01 (1),TeddyBear_01 (2),Doll_01 (1),SeaHorse_01 (3),TeddyBear_01 (2),Ball_01 (1),Doll_01 (1),Car_01 (1),3
control2, Female, 10,Basketball_01 (1),Car_02 (1),Binocular_01 (2),DumpTruck_01 (1),Fish_01 (1),Basketball_01 (1),Fish_01 (1),Binocular_01 (2),DumpTruck_01 (1),Car_02 (1),2
control2, Female, 